Medicine, Cost, Composition, Dosage
Captopril,97, Montelukast Sodium, 25-500mg once/day
Levothyroxine,68, Diltiazem Hydrochloride, 600-1800mg/day
Nateglinide,55, Lithium Carbonate, 25-800mg/day
Losartan,71, Atorvastatin Calcium, 30-120mg 2-3 times/day
Simvastatin,65, Atorvastatin Calcium, 75-300mg once/day
Valsartan,37, Thioridazine Hydrochloride, 25-100mg once/day
Thioridazine,69, Ranitidine Hydrochloride, 15-45mg once/day
Enalapril,32, Acarbose, 300-1200mg 3 times/day
Amlodipine,56, Voglibose, 25-800mg/day
Losartan,16, Felodipine, 600-1800mg/day
Hydrochlorothiazide,23, Amlodipine Besylate, 500-2000mg/day
Lercanidipine,88, Atorvastatin Calcium, 20mg once/day
Ramipril,67, Olanzapine, 40-320mg 2-3 times/day
Risperidone,41, Paliperidone, 600-1800mg/day
Carvedilol,67, Alprazolam, 5-10mg 2-3 times/day
Haloperidol,55, Lercanidipine Hydrochloride, 25-200mcg once/day
Simvastatin,56, Olanzapine, 10-20mg once/day
Doxycycline,62, Metformin Hydrochloride, 5-10mg once/day
Diltiazem,45, Nisoldipine, 400-600mg every 4-6 hours (up to 3.2g/day)
Olanzapine,89, Fluphenazine Decanoate, 75-300mg once/day
Ramipril,55, Valproic Acid, 5-30mg once/day
Alprazolam,55, Baclofen, 5-40mg once/day
Rosiglitazone,87, Captopril, 30-120mg 2-3 times/day
Captopril,36, Ziprasidone Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Amlodipine,42, Alprazolam, 1-100mg/day
Metformin,32, Repaglinide, 500-2000mg/day
Thioridazine,95, Lithium Carbonate, 2.5-20mg once/day
Plendil,52, Glyburide, 5-10mg 2-3 times/day
Aripiprazole,53, Lithium Carbonate, 5-10mg 2-3 times/day
Isradipine,35, Nisoldipine, 37.5-225mg once/day
Fluphenazine,67, Lamotrigine, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Adalat,64, Glibenclamide, 40mg once/day
Thioridazine,67, Lisinopril, 0.5-4mg before each meal
Quetiapine,45, Thioridazine Hydrochloride, 5-20mg once/day
Carvedilol,48, Acetaminophen, 8-32mg once/day
Risperidone,50, Ramipril, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Paracetamol,67, Miglitol, 0.2-0.3g before each meal
Valsartan,39, Paliperidone, 2.5-10mg once/day
Donepezil,69, Pantoprazole Sodium, 25-1000mg/day
Aripiprazole,53, Montelukast Sodium, 500-3000mg/day
Nisoldipine,50, Clonazepam, 10-20mg once/day
Chlorpromazine,35, Acetaminophen, 40mg once/day
Captopril,24, Valproic Acid, 500mg every 4-6 hours (up to 4g/day)
Candesartan,34, Aripiprazole, 500mg every 4-6 hours (up to 4g/day)
Lercanidipine,27, Olanzapine, 2.5-20mg once/day with meal
Repaglinide,51, Glimepiride, 25-500mg once/day
Metformin,47, Benazepril Hydrochloride, 40-60mg once/day
Thioridazine,96, Fluoxetine Hydrochloride, 10-30mg 2-3 times/day
Aspirin,18, Venlafaxine Hydrochloride, 40-160mg once/day
Ranitidine,49, Cetirizine Hydrochloride, 2.5-30mg once every 2-4 weeks
Nisoldipine,65, Duloxetine Hydrochloride, 75mg once/day
Diltiazem,45, Metformin Hydrochloride, 150-300mg once/day
Metoprolol,37, Lamotrigine, 10-40mg once/day
Isradipine,38, Chlorpromazine Hydrochloride, 5-10mg once/day
Plendil,29, Furosemide, 75-300mg once/day
Levothyroxine,34, Doxycycline Hyclate, 10-30mg 2-3 times/day
Propranolol,45, Diltiazem Hydrochloride, 25-500mg once/day
Aspirin,42, Amlodipine Besylate, 5-10mg once/day
Omeprazole,52, Lithium Carbonate, 10mg once/day
Atorvastatin,23, Propranolol Hydrochloride, 20-80mg once/day
Clonazepam,61, Verapamil Hydrochloride, 0.5-4mg before each meal
Ramipril,60, Pregabalin, 10-40mg once/day
Lamotrigine,45, Venlafaxine Hydrochloride, 500mg on day 1 followed by 250mg once/day for 4 days
Candesartan,52, Clonazepam, 20-80mg once/day
Glimepiride,82, Duloxetine Hydrochloride, 8-32mg once/day
Verapamil,56, Baclofen, 5-10mg 2-3 times/day
Paracetamol,52, Voglibose, 25-800mg once/day
Duloxetine,78, Simvastatin, 25-800mg once/day
Cetirizine,62, Glyburide, 25-100mg once/day
Aripiprazole,47, Enalapril Maleate, 0.2-0.3g before each meal
Captopril,55, Nifedipine, 40-320mg once/day
Gabapentin,86, Nifedipine, 25-800mg/day
Cetirizine,41, Verapamil Hydrochloride, 4-8mg once/day
Irbesartan,50, Omeprazole, 0.25-2mg 2-3 times/day
Candesartan,59, Enalapril Maleate, 75-300mg once/day
Thioridazine,66, Rosiglitazone Maleate, 20mg once/day
Glimepiride,56, Metformin Hydrochloride, 6.25-50mg 2-3 times/day
Azithromycin,52, Ranitidine Hydrochloride, 150-300mg once/day
Montelukast,51, Ranitidine Hydrochloride, 1-100mg/day
Thioridazine,55, Baclofen, 500mg every 4-6 hours (up to 4g/day)
Lithium Carbonate,83, Warfarin Sodium, 15-45mg once/day
Isradipine,74, Irbesartan, 8-32mg once/day
Lamotrigine,51, Ziprasidone Hydrochloride, 10-80mg 2-3 times/day
Fluphenazine,53, Doxycycline Hyclate, 75-150mg 2-3 times/day
Glimepiride,76, Candesartan Cilexetil, 120mg before each meal
Procardia,101, Venlafaxine Hydrochloride, 0.25-2mg 2-3 times/day
Ibuprofen,66, Acetaminophen, 1-4mg once/day
Valproic Acid,10, Repaglinide, 5-10mg once/day
Gabapentin,47, Lercanidipine Hydrochloride, 25-500mg once/day
Warfarin,56, Fluphenazine Decanoate, 5-40mg once/day
Amoxicillin,63, Azithromycin, 20-80mg once/day
Aspirin,82, Lercanidipine Hydrochloride, 25-100mg before each meal
Metformin,40, Propranolol Hydrochloride, 10-40mg once/day
Pioglitazone,14, Acetaminophen, 10-80mg once/day
Thioridazine,59, Isradipine, 0.2-0.3g before each meal
Rosiglitazone,54, Thioridazine Hydrochloride, 10-30mg 2-3 times/day
Aspirin,55, Miglitol, 250-500mg every 8 hours (up to 3g/day)
Adalat,50, Nateglinide, 5-10mg once/day
Quetiapine,83, Acetylsalicylic Acid, 25-800mg/day
Aspirin,46, Trazodone Hydrochloride, 2-6mg once/day
Aspirin,28, Montelukast Sodium, 15-45mg once/day
Propranolol,64, Acetaminophen, 10mg once/day
Glibenclamide,45, Metformin Hydrochloride, 4-8mg once/day
Metformin,68, Chlorpromazine Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Metformin,69, Ramipril, 500mg every 4-6 hours (up to 4g/day)
Isradipine,53, Fluphenazine Decanoate, 10mg once/day
Benazepril,75, Risperidone, 5-10mg once/day
Aspirin,76, Pioglitazone Hydrochloride, 10-40mg once/day
Benazepril,45, Acetaminophen, 8-32mg once/day
Glibenclamide,67, Pantoprazole Sodium, 5-10mg once/day
Baclofen,89, Pantoprazole Sodium, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Cetirizine,66, Benazepril Hydrochloride, 75-300mg once/day
Benazepril,77, Clonazepam, 120mg before each meal
Valproic Acid,49, Clopidogrel Bisulfate, 15-45mg once/day
Valsartan,72, Nisoldipine, 5-10mg once/day
Lamotrigine,34, Chlorpromazine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Paracetamol,71, Simvastatin, 10-30mg 2-3 times/day
Lamotrigine,70, Fluphenazine Decanoate, 4-8mg once/day
Olanzapine,59, Donepezil Hydrochloride, 1-4mg once/day
Ranitidine,75, Valsartan, 0.5-2mg 2-3 times/day
Omeprazole,72, Captopril, 0.5-2mg 2-3 times/day
Candesartan,76, Duloxetine Hydrochloride, 75-150mg 2-3 times/day
Ranitidine,40, Chlorpromazine Hydrochloride, 10-80mg 2-3 times/day
Irbesartan,33, Paliperidone, 0.25-2mg 2-3 times/day
Valsartan,70, Nisoldipine, 2.5-10mg once/day
Quetiapine,54, Amoxicillin Trihydrate, 50-450mg 2-3 times/day
Metformin,56, Atorvastatin Calcium, 25-500mg once/day
Glimepiride,64, Rosiglitazone Maleate, 5-30mg once/day
Haloperidol,79, Paliperidone, 500-2000mg/day
Clopidogrel,66, Valproic Acid, 250-500mg every 8 hours (up to 3g/day)
Ramipril,23, Ramipril, 75-300mg once/day
Irbesartan,87, Nifedipine, 10-30mg 2-3 times/day
Ramipril,38, Candesartan Cilexetil, 2.5-20mg once/day
Verapamil,58, Fluphenazine Decanoate, 2-6mg once/day
Doxycycline,87, Montelukast Sodium, 5-10mg once/day
Paracetamol,54, Risperidone, 40-160mg once/day
Clonazepam,60, Felodipine, 325-650mg every 4-6 hours (up to 4g/day)
Procardia,68, Captopril, 5-10mg once/day
Pioglitazone,23, Ibuprofen, 25-500mg once/day
Hydrochlorothiazide,65, Venlafaxine Hydrochloride, 400-600mg every 4-6 hours (up to 3.2g/day)
Isradipine,50, Nisoldipine, 8-32mg once/day
Glyburide,29, Lisinopril, 1-100mg/day
Losartan,29, Lercanidipine Hydrochloride, 2.5-20mg once/day
Irbesartan,32, Trazodone Hydrochloride, 0.2-0.3g before each meal
Valproic Acid,36, Pioglitazone Hydrochloride, 40-320mg once/day
Procardia,98, Omeprazole, 2.5-10mg once/day
Clopidogrel,44, Rosiglitazone Maleate, 20-80mg once/day
Donepezil,29, Enalapril Maleate, 10-30mg 2-3 times/day
Procardia,53, Nateglinide, 25-200mcg once/day
Furosemide,27, Verapamil Hydrochloride, 5-10mg once/day
Miglitol,72, Lamotrigine, 10-40mg once/day
Lercanidipine,41, Valsartan, 5-10mg once/day
Duloxetine,36, Metformin Hydrochloride, 500-2000mg/day
Aspirin,71, Chlorpromazine Hydrochloride, 2.5-20mg once/day with meal
Plendil,78, Lamotrigine, 325-650mg every 4-6 hours (up to 4g/day)
Amlodipine,58, Ziprasidone Hydrochloride, 25-100mg once/day
Captopril,59, Lisinopril Dihydrate, 10-30mg 2-3 times/day
Benazepril,56, Cetirizine Hydrochloride, 4-8mg once/day
Levothyroxine,37, Acetaminophen, 10mg once/day
Valsartan,61, Doxycycline Hyclate, 325-650mg every 4-6 hours (up to 4g/day)
Haloperidol,64, Montelukast Sodium, 25-100mg once/day
Rosiglitazone,37, Propranolol Hydrochloride, 5-30mg once/day
Donepezil,71, Gabapentin, 2.5-20mg once/day
Irbesartan,71, Montelukast Sodium, 2.5-10mg once/day
Montelukast,28, Chlorpromazine Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Verapamil,61, Olanzapine, 0.5-2mg 2-3 times/day
Donepezil,50, Hydrochlorothiazide, 40-160mg once/day
Voglibose,36, Voglibose, 80-120mg 2-3 times/day
Duloxetine,84, Glimepiride, 0.25-2mg 2-3 times/day
Glibenclamide,73, Trazodone Hydrochloride, 6-12mg once/day
Glibenclamide,60, Nifedipine, 2.5-20mg once/day
Fluoxetine,70, Glimepiride, 75-150mg 2-3 times/day
Risperidone,62, Furosemide, 10mg once/day
Valsartan,55, Nisoldipine, 25-1000mg/day
Baclofen,16, Cetirizine Hydrochloride, 40-320mg once/day
Lamotrigine,42, Voglibose, 500mg every 4-6 hours (up to 4g/day)
Ranitidine,81, Valsartan, 50-450mg 2-3 times/day
Amlodipine,57, Benazepril Hydrochloride, 25-800mg/day
Losartan,63, Rosiglitazone Maleate, 25-100mg before each meal
Gabapentin,81, Clopidogrel Bisulfate, 80-120mg 2-3 times/day
Propranolol,63, Diltiazem Hydrochloride, 500mg on day 1 followed by 250mg once/day for 4 days
Lisinopril,54, Nisoldipine, 500-3000mg/day
Pantoprazole,80, Aripiprazole, 12.5-150mg 3 times/day
Enalapril,66, Alprazolam, 500mg every 4-6 hours (up to 4g/day)
Isradipine,41, Captopril, 500mg every 4-6 hours (up to 4g/day)
Furosemide,83, Nateglinide, 150-300mg once/day
Enalapril,68, Benazepril Hydrochloride, 1-100mg/day
Duloxetine,34, Simvastatin, 40-320mg 2-3 times/day
Metformin,54, Acetylsalicylic Acid, 10-20mg once/day
Lamotrigine,78, Miglitol, 1-100mg/day
Donepezil,49, Metformin Hydrochloride, 25-100mg once/day
Lithium Carbonate,90, Ramipril, 1-4mg once/day
Valproic Acid,82, Clopidogrel Bisulfate, 5-30mg once/day
Paracetamol,76, Duloxetine Hydrochloride, 0.5-4mg before each meal
Clonazepam,59, Pantoprazole Sodium, 500-3000mg/day
Gabapentin,72, Captopril, 25-800mg once/day
Glibenclamide,32, Isradipine, 1-4mg once/day
Carvedilol,87, Ziprasidone Hydrochloride, 25-100mg once/day
Plendil,81, Venlafaxine Hydrochloride, 75-150mg 2-3 times/day
Haloperidol,84, Nateglinide, 40-320mg 2-3 times/day
Montelukast,61, Pantoprazole Sodium, 40-320mg 2-3 times/day
Baclofen,93, Losartan Potassium, 500mg every 4-6 hours (up to 4g/day)
Ramipril,74, Warfarin Sodium, 12.5-150mg 3 times/day
Lamotrigine,53, Ziprasidone Hydrochloride, 5-10mg once/day
Nateglinide,50, Cetirizine Hydrochloride, 2.5-20mg once/day with meal
Telmisartan,50, Montelukast Sodium, 300-1200mg 3 times/day
Glyburide,85, Amlodipine Besylate, 5-10mg once/day
Paracetamol,53, Nifedipine, 0.5-4mg before each meal
Lisinopril,27, Lercanidipine Hydrochloride, 2.5-20mg once/day with meal
Cetirizine,55, Acetylsalicylic Acid, 10-30mg 2-3 times/day
Benazepril,48, Alprazolam, 0.2-0.3g before each meal
Isradipine,72, Nisoldipine, 75-150mg 2-3 times/day
Candesartan,36, Telmisartan, 5-10mg 2-3 times/day
Benazepril,63, Glimepiride, 0.2-0.3g before each meal
Enalapril,26, Felodipine, 500mg every 4-6 hours (up to 4g/day)
Furosemide,89, Gabapentin, 150-300mg 2-3 times/day
Simvastatin,66, Voglibose, 500-2000mg/day
Aripiprazole,45, Gabapentin, 10mg once/day
Losartan,50, Clonazepam, 10-30mg 2-3 times/day
Enalapril,32, Glimepiride, 2.5-10mg once/day
Valsartan,87, Repaglinide, 25-800mg once/day
Ziprasidone,66, Felodipine, 10-80mg once/day
Aripiprazole,29, Duloxetine Hydrochloride, 1-4mg once/day
Levothyroxine,59, Paliperidone, 12.5-25mg once/day
Warfarin,92, Haloperidol, 30-120mg 2-3 times/day
Ibuprofen,59, Chlorpromazine Hydrochloride, 10-30mg 2-3 times/day
Quetiapine,80, Lamotrigine, 10-30mg 2-3 times/day
Lisinopril,19, Losartan Potassium, 10mg once/day
Risperidone,71, Montelukast Sodium, 5-10mg once/day
Metoprolol,30, Atorvastatin Calcium, 8-32mg once/day
Glibenclamide,84, Hydrochlorothiazide, 500mg every 4-6 hours (up to 4g/day)
Warfarin,56, Clonazepam, 0.2-0.3g before each meal
Procardia,37, Clopidogrel Bisulfate, 25-200mcg once/day
Amlodipine,65, Metformin Hydrochloride, 10-40mg once/day
Miglitol,64, Carvedilol, 25-800mg/day
Venlafaxine,30, Candesartan Cilexetil, 500-2000mg/day
Atorvastatin,47, Benazepril Hydrochloride, 12.5-150mg 3 times/day
Ramipril,72, Pioglitazone Hydrochloride, 20mg once/day
Furosemide,85, Propranolol Hydrochloride, 25-500mg once/day
Verapamil,59, Clopidogrel Bisulfate, 25-500mg once/day
Alprazolam,52, Olanzapine, 10-30mg 2-3 times/day
Lercanidipine,59, Donepezil Hydrochloride, 10-40mg once/day
Furosemide,84, Thioridazine Hydrochloride, 10mg once/day
Rosiglitazone,72, Acarbose, 0.5-4mg before each meal
Lisinopril,24, Doxycycline Hyclate, 40-320mg 2-3 times/day
Haloperidol,26, Glyburide, 100mg every 12 hours (up to 200mg/day)
Cetirizine,54, Glyburide, 10-40mg once/day
Aspirin,40, Metformin Hydrochloride, 37.5-225mg once/day
Verapamil,57, Rosiglitazone Maleate, 80-120mg 2-3 times/day
Omeprazole,66, Rosiglitazone Maleate, 100mg every 12 hours (up to 200mg/day)
Azithromycin,30, Glimepiride, 40-160mg once/day
Alprazolam,55, Miglitol, 250-500mg every 8 hours (up to 3g/day)
Ranitidine,65, Aripiprazole, 2.5-20mg once/day
Metformin,53, Glibenclamide, 10mg once/day
Lisinopril,70, Alprazolam, 5-10mg once/day
Paracetamol,40, Valsartan, 400-600mg every 4-6 hours (up to 3.2g/day)
Propranolol,57, Acetylsalicylic Acid, 100mg every 12 hours (up to 200mg/day)
Isradipine,85, Azithromycin, 1-4mg once/day
Rosiglitazone,76, Aripiprazole, 4-8mg once/day
Paracetamol,44, Venlafaxine Hydrochloride, 10-40mg once/day
Enalapril,78, Trazodone Hydrochloride, 500mg on day 1 followed by 250mg once/day for 4 days
Venlafaxine,65, Amlodipine Besylate, 80-120mg 2-3 times/day
Fluphenazine,53, Telmisartan, 500-2000mg/day
Haloperidol,47, Glimepiride, 5-10mg 2-3 times/day
Pioglitazone,61, Furosemide, 325-650mg every 4-6 hours (up to 4g/day)
Ibuprofen,66, Risperidone, 5-10mg once/day
Donepezil,34, Telmisartan, 500mg every 4-6 hours (up to 4g/day)
Glyburide,51, Isradipine, 2.5-20mg once/day with meal
Amlodipine,54, Gabapentin, 10mg once/day
Glyburide,64, Irbesartan, 25-200mcg once/day
Amlodipine,43, Isradipine, 6-12mg once/day
Telmisartan,108, Aripiprazole, 4-8mg once/day
Ibuprofen,55, Montelukast Sodium, 2-6mg once/day
Candesartan,40, Glibenclamide, 0.5-2mg 2-3 times/day
Voglibose,61, Enalapril Maleate, 0.5-4mg before each meal
Thioridazine,63, Lithium Carbonate, 75-150mg 2-3 times/day
Lisinopril,42, Quetiapine Fumarate, 2.5-10mg once/day
Propranolol,57, Nifedipine, 40-320mg 2-3 times/day
Captopril,83, Pregabalin, 10-80mg once/day
Metformin,39, Enalapril Maleate, 250-500mg every 8 hours (up to 3g/day)
Verapamil,39, Enalapril Maleate, 5-10mg once/day
Aspirin,69, Losartan Potassium, 2.5-10mg once/day
Baclofen,50, Acetaminophen, 10-80mg once/day
Nateglinide,56, Verapamil Hydrochloride, 10mg once/day
Haloperidol,35, Enalapril Maleate, 2.5-30mg once every 2-4 weeks
Procardia,59, Ranitidine Hydrochloride, 4-8mg once/day
Valsartan,82, Ranitidine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Metformin,21, Valproic Acid, 5-40mg once/day
Nisoldipine,71, Donepezil Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Paliperidone,44, Lamotrigine, 25-100mg before each meal
Glyburide,42, Lisinopril Dihydrate, 20mg once/day
Paracetamol,44, Verapamil Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Metoprolol,49, Hydrochlorothiazide, 75mg once/day
Ziprasidone,50, Chlorpromazine Hydrochloride, 300-1200mg 3 times/day
Glibenclamide,64, Acetylsalicylic Acid, 5-10mg once/day
Telmisartan,56, Ranitidine Hydrochloride, 6.25-50mg 2-3 times/day
Paracetamol,35, Duloxetine Hydrochloride, 2.5-20mg once/day with meal
Trazodone,41, Simvastatin, 5-10mg once/day
Propranolol,40, Propranolol Hydrochloride, 600-1800mg/day
Trazodone,80, Benazepril Hydrochloride, 0.2-0.3g before each meal
Ibuprofen,37, Amoxicillin Trihydrate, 10-30mg 2-3 times/day
Glimepiride,66, Donepezil Hydrochloride, 80-120mg 2-3 times/day
Lercanidipine,63, Enalapril Maleate, 10mg once/day
Adalat,22, Ranitidine Hydrochloride, 1-4mg once/day
Repaglinide,64, Acetylsalicylic Acid, 5-40mg once/day
Lithium Carbonate,58, Verapamil Hydrochloride, 400-600mg every 4-6 hours (up to 3.2g/day)
Warfarin,49, Amlodipine Besylate, 2.5-20mg once/day
Montelukast,41, Paliperidone, 50-450mg 2-3 times/day
Enalapril,73, Losartan Potassium, 0.5-2mg 2-3 times/day
Alprazolam,75, Valsartan, 325-650mg every 4-6 hours (up to 4g/day)
Rosiglitazone,67, Nifedipine, 10-30mg 2-3 times/day
Candesartan,99, Baclofen, 40-160mg once/day
Fluphenazine,93, Pantoprazole Sodium, 500-2000mg/day
Captopril,86, Pantoprazole Sodium, 25-800mg/day
Candesartan,50, Propranolol Hydrochloride, 600-1800mg/day
Aspirin,57, Gabapentin, 500mg every 4-6 hours (up to 4g/day)
Hydrochlorothiazide,52, Pioglitazone Hydrochloride, 10mg once/day
Olanzapine,75, Miglitol, 500-3000mg/day
Fluphenazine,70, Amlodipine Besylate, 5-10mg once/day
Verapamil,74, Olanzapine, 40-320mg 2-3 times/day
Rosiglitazone,59, Voglibose, 500mg every 4-6 hours (up to 4g/day)
Glyburide,63, Venlafaxine Hydrochloride, 0.5-4mg before each meal
Acarbose,66, Metformin Hydrochloride, 25-800mg once/day
Voglibose,81, Quetiapine Fumarate, 37.5-225mg once/day
Enalapril,30, Losartan Potassium, 15-45mg once/day
Valsartan,81, Losartan Potassium, 40-320mg 2-3 times/day
Venlafaxine,30, Captopril, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Benazepril,54, Verapamil Hydrochloride, 10-40mg once/day
Amlodipine,34, Verapamil Hydrochloride, 25-100mg once/day
Trazodone,62, Chlorpromazine Hydrochloride, 25-1000mg/day
Propranolol,47, Acarbose, 75-300mg once/day
Repaglinide,67, Fluphenazine Decanoate, 10-30mg 2-3 times/day
Propranolol,91, Metformin Hydrochloride, 40mg once/day
Adalat,55, Telmisartan, 40-320mg once/day
Paracetamol,52, Fluoxetine Hydrochloride, 75-300mg once/day
Venlafaxine,46, Cetirizine Hydrochloride, 40-320mg once/day
Enalapril,28, Diltiazem Hydrochloride, 40mg once/day
Ramipril,72, Levothyroxine Sodium, 10-40mg once/day
Metoprolol,49, Valproic Acid, 80-120mg 2-3 times/day
Ranitidine,34, Olanzapine, 5-10mg once/day
Lamotrigine,38, Pioglitazone Hydrochloride, 2-6mg once/day
Telmisartan,28, Lisinopril, 250-500mg every 8 hours (up to 3g/day)
Nisoldipine,54, Nifedipine, 10-20mg once/day
Glimepiride,73, Miglitol, 250-500mg every 8 hours (up to 3g/day)
Donepezil,63, Nisoldipine, 400-600mg every 4-6 hours (up to 3.2g/day)
Lisinopril,55, Donepezil Hydrochloride, 400-600mg every 4-6 hours (up to 3.2g/day)
Nisoldipine,61, Glyburide, 5-10mg once/day
Lisinopril,27, Metformin Hydrochloride, 150-300mg 2-3 times/day
Aspirin,35, Valproic Acid, 0.25-2mg 2-3 times/day
Metoprolol,36, Alprazolam, 400-600mg every 4-6 hours (up to 3.2g/day)
Gabapentin,28, Lisinopril, 10-40mg once/day
Olanzapine,69, Lamotrigine, 10mg once/day
Haloperidol,31, Glyburide, 37.5-225mg once/day
Thioridazine,26, Nifedipine, 500mg every 4-6 hours (up to 4g/day)
Thioridazine,68, Omeprazole, 10-40mg once/day
Ibuprofen,24, Alprazolam, 150-300mg 2-3 times/day
Aspirin,51, Azithromycin, 5-20mg once/day
Montelukast,66, Captopril, 500mg every 4-6 hours (up to 4g/day)
Trazodone,58, Alprazolam, 25-100mg before each meal
Donepezil,68, Nifedipine, 12.5-25mg once/day
Metformin,44, Pregabalin, 0.5-2mg 2-3 times/day
Furosemide,44, Acarbose, 8-32mg once/day
Omeprazole,59, Lithium Carbonate, 40-60mg once/day
Ibuprofen,59, Paliperidone, 10mg once/day
Thioridazine,61, Valsartan, 4-8mg once/day
Quetiapine,50, Simvastatin, 10-30mg 2-3 times/day
Furosemide,32, Acetaminophen, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Amlodipine,57, Telmisartan, 2-6mg once/day
Glibenclamide,64, Nateglinide, 500mg every 4-6 hours (up to 4g/day)
Glimepiride,58, Nisoldipine, 30-120mg 2-3 times/day
Ziprasidone,34, Chlorpromazine Hydrochloride, 10mg once/day
Duloxetine,32, Nifedipine, 10-40mg once/day
Metformin,69, Telmisartan, 20mg once/day
Acarbose,45, Enalapril Maleate, 10-40mg once/day
Glibenclamide,82, Irbesartan, 6.25-50mg 2-3 times/day
Telmisartan,73, Carvedilol, 500mg every 4-6 hours (up to 4g/day)
